run_id,model,lr,dropout,batch_size,num_heads,head_dim,num_filters,cnn_kernel_size,lstur_mode,best_epoch,best_val_loss,best_val_auc,best_val_mrr,best_val_ndcg5,best_val_ndcg10,test_auc,test_mrr,test_ndcg5,test_ndcg10,n_params,checkpoint
1,naml,0.0001,0.2,64,,,400,3,,2,1.463659,0.666172,0.379361,0.35738,0.41303,0.566816,0.282394,0.258942,0.326432,19414300,results\sweep\checkpoints\naml_run001_best.pt
2,naml,0.0003,0.2,64,,,400,3,,2,1.532316,0.631423,0.365693,0.340952,0.395252,0.487587,0.242538,0.216976,0.280134,19414300,results\sweep\checkpoints\naml_run002_best.pt
3,naml,0.0001,0.3,64,,,400,3,,5,1.465353,0.671669,0.383871,0.361443,0.418496,0.578976,0.294638,0.277635,0.340867,19414300,results\sweep\checkpoints\naml_run003_best.pt
4,naml,0.0003,0.2,64,,,400,5,,1,1.589454,0.598172,0.344607,0.319029,0.373408,0.519912,0.266,0.246018,0.306092,19894300,results\sweep\checkpoints\naml_run004_best.pt
5,lstur,0.0001,0.2,64,,,400,,ini,8,1.379109,0.71041,0.420574,0.399712,0.455812,0.597151,0.311598,0.289744,0.354097,24382400,results\sweep\checkpoints\lstur_run005_best.pt
6,lstur,0.0003,0.2,64,,,400,,ini,5,1.43865,0.680772,0.392424,0.370641,0.426595,0.560911,0.294196,0.272855,0.334212,24382400,results\sweep\checkpoints\lstur_run006_best.pt
7,lstur,0.0001,0.2,64,,,400,,con,11,1.428548,0.689601,0.410079,0.388274,0.442512,0.568343,0.29395,0.277478,0.337306,24542400,results\sweep\checkpoints\lstur_run007_best.pt
8,lstur,0.0003,0.2,64,,,400,,con,6,1.486084,0.661101,0.381759,0.360126,0.413608,0.561182,0.279622,0.262997,0.325141,24542400,results\sweep\checkpoints\lstur_run008_best.pt
9,npa,0.0001,0.2,64,,,400,,,6,1.398433,0.698183,0.408797,0.387121,0.443717,0.584891,0.296495,0.278704,0.343427,28202900,results\sweep\checkpoints\npa_run009_best.pt
10,npa,0.0003,0.2,64,,,400,,,6,1.388637,0.706158,0.41574,0.39523,0.452695,0.596617,0.305251,0.290255,0.353041,28202900,results\sweep\checkpoints\npa_run010_best.pt
11,npa,0.0001,0.3,64,,,400,,,13,1.390846,0.702426,0.415383,0.392982,0.450657,0.594994,0.303045,0.2834,0.349807,28202900,results\sweep\checkpoints\npa_run011_best.pt
13,nrms,0.0001,0.2,64,20,20,,,,19,1.317613,0.728852,0.439546,0.42013,0.47536,0.624372,0.331663,0.313852,0.377867,19781100,results\sweep\checkpoints\nrms_run013_best.pt
14,nrms,0.0003,0.2,64,20,20,,,,20,1.356393,0.715711,0.426189,0.405336,0.460887,0.618292,0.326789,0.309792,0.372187,19781100,results\sweep\checkpoints\nrms_run014_best.pt
15,nrms,0.001,0.2,64,20,20,,,,7,1.351552,0.718649,0.42564,0.406913,0.462656,0.612379,0.324511,0.307957,0.369487,19781100,results\sweep\checkpoints\nrms_run015_best.pt
16,nrms,0.0001,0.3,64,20,20,,,,20,1.318635,0.728569,0.438608,0.418717,0.474191,0.623773,0.328015,0.311254,0.376322,19781100,results\sweep\checkpoints\nrms_run016_best.pt
17,nrms,0.0003,0.3,64,20,20,,,,20,1.328812,0.726371,0.435904,0.415307,0.47127,0.618951,0.325191,0.307326,0.371811,19781100,results\sweep\checkpoints\nrms_run017_best.pt
18,nrms,0.0001,0.1,128,20,20,,,,9,1.330419,0.723426,0.434726,0.414801,0.469865,0.624796,0.337017,0.320605,0.381322,19781100,results\sweep\checkpoints\nrms_run018_best.pt
19,nrms,0.0003,0.1,128,20,20,,,,5,1.33977,0.719291,0.428963,0.411092,0.465752,0.614743,0.322461,0.305309,0.369462,19781100,results\sweep\checkpoints\nrms_run019_best.pt
12,npa,0.0003,0.1,128,20,20,400,3,ini,0,nan,0.694948,0.40741,0.385736,0.442219,0.582838,0.289615,0.268723,0.336653,28202900,results/sweep/checkpoints/npa_run012_best.pt
20,nrms,0.0001,0.2,64,16,25,400,3,ini,0,nan,0.72827,0.4389,0.418806,0.473759,0.627876,0.335249,0.318678,0.38167,19781100,results/sweep/checkpoints/nrms_run020_best.pt
